slope,mean,median,P95,P99,max
0.055,0.5366046403992722,0.5197535950225268,1.3325114520053338,1.7824797814877256,3.598835127844035
0.065,0.5867003356241611,0.5667363925681755,1.4098378323691123,1.8971514245197956,3.865241796173859
0.075,0.6387511793623183,0.6150407579487899,1.4922818787384557,2.0150359793507797,4.142045856917772
0.085,0.6924444465144719,0.6648321907593403,1.5779179705789537,2.141239515083298,4.427584251974153
0.095,0.7475132739137973,0.7152970751537393,1.6679406023654728,2.273080913307239,4.720437814948475
0.105,0.8037341083633938,0.7668507267140474,1.7613242350812341,2.4068097724671937,5.019417699930654
0.115,0.8609217102456591,0.8184843749378854,1.8576762067294503,2.5436030041332502,5.365887935325297
0.125,0.9189234416762547,0.8711758115851544,1.9558475793881698,2.6836680218012265,5.718057143875141
0.135,0.9776137640336212,0.9240549829867708,2.0568818028536335,2.827099288920912,6.074407271092662
0.145,1.0368893568770283,0.9772877405829858,2.1599629494123214,2.970272966067192,6.434310986087182
